GDP,Interest Rate
,
,
,
,
243.164,
245.968,
249.585,
259.745,
265.742,
272.567,
279.196,
280.366,
275.034,
271.351,
272.889,
270.627,
280.828,
290.383,
308.153,
319.945,
336.0,
344.09,
351.385,
356.178,
359.82,
361.03,
367.701,
380.812,
387.98,
391.749,
391.171,
385.97,
385.345,
386.121,
390.996,0.8
,1.22
,1.07
399.734,0.85
,0.83
,1.28
413.073,1.39
,1.29
,1.35
421.532,1.43
,1.43
,1.64
430.221,1.68
,1.96
,2.18
437.092,2.24
,2.35
,2.48
439.746,2.45
,2.5
,2.5
446.01,2.62
,2.75
,2.71
451.191,2.75
,2.73
,2.95
460.463,2.96
,2.88
,2.94
469.779,2.84
,3.0
,2.96
472.025,3.0
,3.0
,3.0
479.49,2.99
,3.24
,3.47
474.864,3.5
,3.28
,2.98
467.54,2.72
,1.67
,1.2
471.978,1.26
,0.63
,0.93
485.841,0.68
,1.53
,1.76
499.555,1.8
,2.27
,2.42
510.33,2.48
,2.43
,2.8
522.653,2.96
,2.9
,3.39
525.034,3.47
,3.5
,3.76
528.6,3.98
,4.0
,3.99
542.648,3.99
,3.97
,3.84
541.08,3.92
,3.85
,3.32
545.604,3.23
,2.98
,2.6
540.197,2.47
,2.44
,1.98
545.018,1.45
,2.54
,2.02
555.545,1.49
,1.98
,1.73
567.664,1.17
,2.0
,1.88
580.612,2.26
,2.61
,2.33
594.013,2.15
,2.37
,2.85
600.366,2.78
,2.36
,2.68
609.027,2.71
,2.93
,2.9
612.28,2.9
,2.94
,2.93
621.672,2.92
,3.0
,2.98
629.752,2.9
,3.0
,2.99
644.444,3.02
,3.49
,3.48
653.938,3.5
,3.48
,3.38
669.822,3.48
,3.48
,3.43
678.674,3.47
,3.5
,3.5
692.031,3.42
,3.5
,3.45
697.319,3.36
,3.52
,3.85
717.79,3.9
,3.98
,4.05
730.191,4.09
,4.1
,4.05
749.323,4.09
,4.12
,4.02
771.857,4.08
,4.1
,4.32
795.734,4.42
,4.6
,4.66
804.981,4.67
,4.9
,5.17
819.638,5.3
,5.53
,5.4
833.302,5.53
,5.76
,5.4
844.17,4.94
,5.0
,4.53
848.983,4.05
,3.94
,3.98
865.233,3.79
,3.9
,3.99
881.439,3.88
,4.13
,4.51
909.387,4.61
,4.71
,5.05
934.344,5.76
,6.12
,6.07
950.825,6.03
,6.03
,5.78
968.03,5.91
,5.82
,6.02
993.337,6.3
,6.61
,6.79
1009.02,7.41
,8.67
,8.9
1029.956,8.61
,9.19
,9.15
1038.147,9.0
,8.85
,8.97
1051.2,8.98
,8.98
,7.76
1067.375,8.1
,7.95
,7.61
1086.059,7.21
,6.62
,6.29
1088.608,6.2
,5.6
,4.9
1135.156,4.14
,3.72
,3.71
1156.271,4.16
,4.63
,4.91
1177.675,5.31
,5.57
,5.55
1190.297,5.2
,4.91
,4.14
1230.609,3.51
,3.3
,3.83
1266.369,4.17
,4.27
,4.46
1290.566,4.55
,4.81
,4.87
1328.904,5.05
,5.06
,5.33
1377.49,5.94
,6.58
,7.09
1413.887,7.12
,7.84
,8.49
1433.838,10.4
,10.5
,10.78
1476.289,10.01
,10.03
,9.95
1491.209,9.65
,8.97
,9.35
