zpid,price,priceForHDP,daysOnZillow,price,livingArea,lotAreaValue,homeType,rentZestimate,Predicted Score (Linear),Linear Risk Level,Predicted Score (GBT),GBT Risk Level,Predicted Score (RF),RF Risk Level,Average Score,Average Risk Level,investment_risk
67395850,649000.0,649000.0,-1,649000.0,780.0,6664.68,CONDO,3150.0,0.3935567701496279,Low,1.2450853891384133,Low,1.3853978034771177,Low,1.080727308520806,Low,1690.72344
2146933844,1200000.0,1200000.0,-1,1200000.0,1389.0,0.53,CONDO,5600.0,0.728218651601405,Low,2.342499495399905,Low,2.57541327106717,Low,2.013764136141601,Low,3119.987165
64969426,699000.0,699000.0,-1,699000.0,830.0,0.9905188246097336,CONDO,3259.0,0.4232225011890551,Low,1.3416574056623891,Low,1.4910073992427515,Low,1.1632676887780335,Low,1817.4188952594125
89237599,499000.0,499000.0,-1,499000.0,601.0,5738.0,CONDO,2963.0,0.3020926838563795,Low,0.9456192502018121,Low,1.0602824928940453,Low,0.8258868178198518,Low,1300.1014
2075613570,1275000.0,1275000.0,26,1275000.0,1609.0,9600.624,CONDO,5998.0,0.7750388025504006,Low,2.5740672842708467,Low,2.7417968906680583,Low,2.1662999615871925,Low,3319.945312
335654551,4488000.0,4488000.0,-1,4488000.0,2742.0,0.0,CONDO,12832.0,2.7297908867821596,Low,8.971723906446954,Low,9.691669178434593,Low,7.612413520043677,Low,11668.240899999999
15143062,3695000.0,3695000.0,27,3695000.0,2915.0,2495.988,SINGLE_FAMILY,11999.0,2.247423362316443,Low,7.371344098220745,Low,7.976221073586481,Low,6.262264360182401,Low,9608.160193999998
335654406,2108000.0,2108000.0,-1,2108000.0,1304.0,0.0,CONDO,5056.0,1.2810138595600051,Low,4.14382386902601,Low,4.538546902715261,Low,3.5510778319309866,Low,5480.8481
80754631,800000.0,800000.0,30,800000.0,1092.0,7776.0,CONDO,3900.0,0.4856527121839581,Low,1.548986041098277,Low,1.7126259703684379,Low,1.3379612373133973,Low,2084.0439999999994
337887918,550000.0,550000.0,-1,550000.0,690.0,8089.092,CONDO,3383.0,0.33341170695611255,Low,1.0411702101150917,Low,1.1716771094831697,Low,0.9111933898692568,Low,1433.8577460000001
60146916,719000.0,719000.0,-1,719000.0,795.0,0.9905188246097336,CONDO,3617.0,0.4353633107916598,Low,1.37365471477865,Low,1.5344317138571966,Low,1.1949766487191542,Low,1869.2694952594122
59700486,749000.0,749000.0,-1,749000.0,988.0,9596.268,CONDO,3753.0,0.45479502508796354,Low,1.444735939429996,Low,1.6031125802211836,Low,1.251121281209664,Low,1952.257934
241586703,1100000.0,1100000.0,37,1100000.0,834.0,0.2583,CONDO,3995.0,0.6673009076893079,Low,2.1039927855765295,Low,2.3588885069340972,Low,1.8330118525027332,Low,2859.8215291499996
64969830,965000.0,965000.0,41,965000.0,1145.0,0.9905188246097336,CONDO,5043.0,0.5851286358468375,Low,1.8824789752296114,Low,2.06805097589534,Low,1.6178045184706509,Low,2508.882695259412
67394837,649000.0,649000.0,-1,649000.0,801.0,0.3634297520661157,CONDO,3576.0,0.3927525325991698,Low,1.2450853891384133,Low,1.3825888192568916,Low,1.0792428389475566,Low,1687.2886817148762
2057749983,585000.0,585000.0,-1,585000.0,0.0,0.0,CONDO,2795.0,0.35361975341699686,Low,1.1085916148973938,Low,1.2438911065117726,Low,0.967953062843949,Low,1520.1616
15147361,498000.0,498000.0,-1,498000.0,474.0,0.2611111111111111,CONDO,2998.0,0.30077401506969964,Low,0.9456192502018121,Low,1.055976638604483,Low,0.8235313494598622,Low,1294.4696305555556
89238030,2549000.0,2549000.0,238,2549000.0,2485.0,0.2607208448117539,CONDO,9499.0,1.5495377999429625,Low,4.941844758320562,Low,5.494185460099952,Low,4.27663940079793,Low,6627.652030360422
335654477,1300000.0,1300000.0,-1,1300000.0,791.0,1.1,CONDO,4037.0,0.7890394435915249,Low,2.5740672842708467,Low,2.7916035161708264,Low,2.1923798088432234,Low,3379.73875
79843632,840000.0,840000.0,-1,840000.0,759.0,0.0,CONDO,3560.0,0.509020622875916,Low,1.6398263881291189,Low,1.7979471854584679,Low,1.4077064696434483,Low,2183.8428999999996
15148165,418000.0,418000.0,13,418000.0,420.0,0.8826999999999999,CONDO,2833.0,0.2520689770280482,Low,0.7791687073927112,Low,0.8826474241505321,Low,0.6858029439537436,Low,1086.46164135
15148590,875000.0,875000.0,13,875000.0,811.0,0.6666000000000001,CONDO,4740.0,0.5302616962204091,Low,1.6398263881291189,Low,1.8716259294072424,Low,1.4467797309594703,Low,2274.5586332999997
325647612,3725000.0,3725000.0,14,3725000.0,1934.0,0.0,CONDO,11447.0,2.265156449052462,Low,7.3725093130903865,Low,8.027048962889566,Low,6.292415746310077,Low,9683.894299999998
325647575,3575000.0,3575000.0,14,3575000.0,1898.0,0.0,CONDO,10982.0,2.173860560514237,Low,7.068317961533619,Low,7.728606203171715,Low,6.043383546403482,Low,9293.9906
241586324,799000.0,799000.0,19,799000.0,0.0,1.7311,CONDO,3300.0,0.48386779301466903,Low,1.548986041098277,Low,1.7066395325844272,Low,1.3347315152263404,Low,2076.4209655500003
