zpid,street,city,state,zipcode,bedrooms,bathrooms,price,rent,livingArea
72149436,3950 Ohio St UNIT 230, San Diego,CA,92104,2.0,2.0,330955,3553.0,1013.0
17533340,919 W Locust St, Ontario,CA,91762,4.0,2.0,720000,3114.0,1554.0
17949230,33648 Brand St, Lake Elsinore,CA,92530,4.0,2.0,579900,,2784.0
16231033,1542 S Parkwood Street, Visalia,CA,93277,3.0,2.0,369900,1895.0,1409.0
17641640,12601 Silver Saddle Way, Victorville,CA,92392,4.0,2.0,419900,2175.0,1585.0
18937780,609 Tanner St, Bakersfield,CA,93307,5.0,2.0,192400,1994.0,1362.0
18892002,900 Montclair St, Bakersfield,CA,93309,3.0,2.0,310000,2199.0,1768.0
15870700,4752 Rinconada Dr, Santa Rosa,CA,95409,3.0,2.0,675000,3497.0,1596.0
20073333,13080 Dronfield Ave UNIT 67, Sylmar,CA,91342,2.0,1.0,379900,2495.0,860.0
17237402,2877 N I St, San Bernardino,CA,92405,4.0,2.0,499900,2700.0,1618.0
18987902,1804 Midvale Ct, Bakersfield,CA,93309,4.0,2.0,449900,2265.0,2015.0
17625008,4574 Snowline Dr, Phelan,CA,92371,3.0,2.0,300000,2199.0,1832.0
16576088,13915 W Oak Glen Rd, Valley Center,CA,92082,2.0,1.0,489000,2828.0,1122.0
52476496,23740 Lincoln Ave, Murrieta,CA,92562,5.0,3.0,630000,3295.0,2492.0
79558087,11863 Nyack Rd, Victorville,CA,92392,4.0,3.0,515000,3200.0,3380.0
20200960,27815 Palmetto Ridge Dr, Santa Clarita,CA,91354,3.0,2.0,749990,3398.0,1263.0
17822418,10114 Cabernet Ct, Riverside,CA,92509,2.0,2.0,499000,2500.0,970.0
53158212,4819 Morgan St, Salida,CA,95368,3.0,2.0,395000,1895.0,836.0
18094503,42085 Turqueries Ave, Palm Desert,CA,92211,2.0,2.0,518000,3646.0,1384.0
20093052,10842 Owens Pl, Tujunga,CA,91042,3.0,2.0,749000,4437.0,1656.0
18933594,6108 De Parsia Ave, Bakersfield,CA,93306,4.0,3.0,350000,2495.0,2239.0
25925900,7749 Telfer Way, Sacramento,CA,95823,3.0,2.0,296900,1999.0,961.0
17947169,15150 Wavecrest Dr, Lake Elsinore,CA,92530,3.0,2.0,485000,2700.0,1288.0
20137739,15438 Vintage St, Mission Hills,CA,91345,3.0,2.0,819999,3634.0,1402.0
18909595,30 Frontier Trl, Kernville,CA,93238,3.0,2.0,440000,2529.0,2114.0
19005979,10411 Camino Media, Bakersfield,CA,93311,4.0,3.0,665000,3308.0,2535.0
19453505,13075 Skislope Way, Truckee,CA,96161,4.0,2.0,1260000,4852.0,2128.0
16587347,4852 Tacayme Dr, Oceanside,CA,92057,3.0,2.0,850000,3394.0,1248.0
17732331,1003 Killarney St, Roseville,CA,95747,4.0,3.0,678000,3200.0,2286.0
2104288980,0 Terrace Dr, Joshua Tree,CA,92252,,,75000,1734.0,
249346001,766 Oreno Cir, Folsom,CA,95630,2.0,3.0,1200000,4973.0,2535.0
17890358,12642 Gorham St, Moreno Valley,CA,92553,3.0,2.0,459000,2594.0,1116.0
18124044,28650 Avenida Diosa, Cathedral City,CA,92234,4.0,3.0,495000,3200.0,1999.0
15885544,999 Andante Rd, Santa Barbara,CA,93105,3.0,4.0,3250000,9703.0,2606.0
21570639,3012 E Charlinda St, West Covina,CA,91791,3.0,3.0,1350000,4470.0,2221.0
18129283,31040 San Luis Rey Dr, Cathedral City,CA,92234,3.0,3.0,499000,5899.0,1946.0
20199758,11833 Preston Trails Ave, Porter Ranch,CA,91326,4.0,3.0,899000,5498.0,2620.0
18695452,1167 W Pinedale Ave, Fresno,CA,93711,4.0,2.0,394999,2299.0,1559.0
18168025,40910 Via Media, Temecula,CA,92591,3.0,3.0,899000,3997.0,2740.0
17870290,9862 Deer Creek Rd, Moreno Valley,CA,92557,4.0,2.0,500000,2927.0,1540.0
244501846,7560 Woodman Pl SPACE 120, Van Nuys,CA,91405,3.0,2.0,172000,2815.0,960.0
