bathrooms,bedrooms,city,daysOnZillow,homeStatus,homeType,imgSrc,latitude,listing_sub_type,livingArea,longitude,price,rentZestimate,state,streetAddress,zestimate,zipcode,zpid,unit
2,3,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/bfaec5a3425a424aba073c28f0ab73cf-p_e.jpg,37.774014,"{'is_FSBA': True, 'is_openHouse': True}",1725,-122.42502,1455000,6425,CA,254 Page St,1588900,94102,53153216,null
2,2,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/61a7de4f9861e0a494e71d457aba240e-p_e.jpg,37.778,"{'is_FSBA': True, 'is_openHouse': True}",1060,-122.42353,1295000,null,CA,400 Grove St UNIT 401,null,94102,241585056,Unit 401
4,3,San Francisco,-1,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/23c34ddf9b1eb39046059729515a8ddc-p_e.jpg,37.77623,"{'is_FSBA': True, 'is_openHouse': True}",2420,-122.4234,1389000,null,CA,327-329 Linden St,null,94102,2056440031,null
2,2,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/3974b509406c7226da567ac48eb58caf-p_e.jpg,37.775753,"{'is_FSBA': True, 'is_openHouse': True}",1215,-122.42639,1215000,null,CA,511 Linden St #B,null,94102,15078469,# B
1,1,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/e7a7d36d915e4f2110245b7414093384-p_e.jpg,37.7777,"{'is_newHome': True, 'is_openHouse': True}",670,-122.422005,899000,null,CA,311 Grove St #2,null,94102,2056450385,# 2
2,2,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/e7a7d36d915e4f2110245b7414093384-p_e.jpg,37.7777,"{'is_newHome': True, 'is_openHouse': True}",0,-122.422005,1249000,null,CA,311 Grove St #7,null,94102,2056450386,# 7
2,2,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/0ef5750cf2f41c84dafee5aa00240d86-p_e.jpg,null,"{'is_newHome': True, 'is_openHouse': True}",950,null,1399000,null,CA,311 Grove St #4,null,94102,2060752756,# 4
2,2,San Francisco,11,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/7e307dde892b2b24055fa1cff4c26838-p_e.jpg,37.78138,{'is_FSBA': True},1270,-122.42314,1198000,4900,CA,368 Elm St APT 305,1249600,94102,79845813,Apt 305
1,1,San Francisco,20,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/53126157e6b48c1c0e8d4bf65a520b6f-p_e.jpg,37.777035,{'is_FSBA': True},711,-122.42388,898000,3857,CA,450 Hayes St UNIT 3L,914000,94102,325787154,Unit 3L
0,null,San Francisco,20,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/63b894d2d85de6afed50860c7df8106a-p_e.jpg,null,{'is_FSBA': True},7851,null,3750000,2889,CA,549 Fell St,3943000,94102,2108813525,null
1,2,San Francisco,20,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/57f0a876f602250483abce056e59fe10-p_e.jpg,37.77443,{'is_FSBA': True},812,-122.42111,927000,null,CA,11 Franklin St #301,null,94102,241585889,# 301
1,0,San Francisco,20,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/a983ff66a37d64599bee37f2db14ea06-p_e.jpg,37.7807,{'is_FSBA': True},254,-122.41327,349000,2361,CA,83 McAllister St APT 405,360700,94102,89240565,Apt 405
1,0,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/492b8effed872ad6853f64d283c83492-p_e.jpg,37.78168,"{'is_FSBA': True, 'is_openHouse': True}",706,-122.42091,463000,3362,CA,601 Van Ness Ave APT 928,460800,94102,15077894,Apt 928
1,1,San Francisco,25,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/1b00e9606fb1c3ff1d500558b8572d4f-p_e.jpg,37.770073,{'is_FSBA': True},605,-122.42621,735000,3499,CA,8 Buchanan St UNIT 502,765100,94102,124398064,Unit 502
1,1,San Francisco,25,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ef623b344d857f4e68e64c82d1ad5cf3-p_e.jpg,37.777035,{'is_newHome': True},0,-122.42388,700000,3527,CA,450 Hayes St #2C,714300,94102,249664411,# 2C
1,3,San Francisco,25,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/edcebf5c48d2c9f8bca211ef1a7dd0ea-p_e.jpg,37.771645,{'is_FSBA': True},1897,-122.42828,1495000,5175,CA,282 Waller St,1493300,94102,123598496,null
1,1,San Francisco,26,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/c1738adf3c8106870e8ed6a0134b573d-p_e.jpg,37.778168,{'is_newHome': True},716,-122.42575,799000,3910,CA,555 Fulton St UNIT 326,794300,94102,325648190,Unit 326
1,0,San Francisco,-1,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/bc3964a54fee7ee6a1975fc3f8a6e8d4-p_e.jpg,37.78238,{'is_FSBA': True},395,-122.420166,375000,2155,CA,750 Van Ness Ave UNIT 404,417500,94102,82785468,Unit 404
0,0,San Francisco,36,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/86df4762ec820c8e6725c08f93cca41c-p_e.jpg,37.774036,{'is_FSBA': True},0,-122.426636,1290000,2054,CA,171-173 Lily St,1380900,94102,2057178598,null
