zpid,open_house,open_house_info
67395850,Sun. 11am-1pm,"{'open_house_showing': [{'open_house_end': 1688328000000, 'open_house_start': 1688320800000}]}"
15143299,Sun. 12-2pm,"{'open_house_showing': [{'open_house_end': 1688331600000, 'open_house_start': 1688324400000}]}"
2146933844,Sat. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688245200000}]}"
64969426,Sat. 12-1pm,"{'open_house_showing': [{'open_house_end': 1688241600000, 'open_house_start': 1688238000000}]}"
2061309390,Sat. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
89237599,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
2130400409,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
337887918,Sat. 11:30am-12:30pm,"{'open_house_showing': [{'open_house_end': 1688239800000, 'open_house_start': 1688236200000}]}"
60146916,Sun. 2-4pm,"{'open_house_showing': [{'open_house_end': 1688338800000, 'open_house_start': 1688331600000}]}"
2062694967,Fri. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688166000000, 'open_house_start': 1688151600000}, {'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
2057749983,Fri. 12-4pm,"{'open_house_showing': [{'open_house_end': 1688166000000, 'open_house_start': 1688151600000}, {'open_house_end': 1688252400000, 'open_house_start': 1688238000000}, {'open_house_end': 1688338800000, 'open_house_start': 1688324400000}]}"
335654477,Sat. 1-3pm,"{'open_house_showing': [{'open_house_end': 1688248800000, 'open_house_start': 1688241600000}, {'open_house_end': 1688335200000, 'open_house_start': 1688328000000}]}"
79843632,Sat. 2-4:30pm,"{'open_house_showing': [{'open_house_end': 1688254200000, 'open_house_start': 1688245200000}]}"
2067085672,Sat. 8-8:30am,"{'open_house_showing': [{'open_house_end': 1688225400000, 'open_house_start': 1688223600000}, {'open_house_end': 1688657400000, 'open_house_start': 1688655600000}]}"
