bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,zestimate,zipcode,zpid,unit
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/91c1452fbcc4813bbce64e78ead510ab-p_e.jpg,False,True,False,False,False,False,False,29.731474,{'is_FSBA': True},2011.0,-95.444405,sqft,6538.356,799900.0,799900.0,2395.0,False,TX,3722 Las Palmas St,427282.0,802300.0,77027,84050640,Not Available
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/43e09972815631a0024b42b199faee03-p_e.jpg,False,True,False,False,False,False,False,29.800257,{'is_FSBA': True},1678.0,-95.42094,sqft,1707.552,492000.0,492000.0,2628.0,False,TX,1222 W 17th St UNIT B,326687.0,497500.0,77008,84034432,Unit B
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/1e1644b58967d1b36d0770d0815d41d5-p_e.jpg,False,True,False,False,False,False,False,,{'is_FSBA': True},,,sqft,4159.98,50000.0,50000.0,1500.0,False,TX,0 Ethel St,,,77028,2102297077,Not Available
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/078d3fc0d55d698913e161bf4ec869d2-p_e.jpg,False,True,False,False,False,False,False,29.679861,{'is_FSBA': True},1982.0,-95.511986,sqft,9539.64,315000.0,315000.0,2003.0,False,TX,9110 Cadawac Rd,268063.0,316200.0,77074,27917152,Not Available
3.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.79927635192871,-95.37369537353516&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=QMSj1LINVI-kUnbYd8Y6DWuN6eY=",False,True,False,False,False,False,False,29.799276,{'is_FSBA': True},1673.0,-95.373695,sqft,5000.688,495000.0,495000.0,2600.0,False,TX,608 Jewett St,490898.0,507400.0,77009,27778196,Not Available
1.0,1.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/4d5cc444f26f526095dcf6a3421de65a-p_e.jpg,False,True,False,False,False,False,False,29.75876,{'is_FSBA': True},906.0,-95.36319,,,239900.0,239900.0,1802.0,False,TX,705 Main St UNIT 601,219810.0,234400.0,77002,80382943,Unit 601
3.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97b813a3e2a68909ee65ed989fbc0a07-p_e.jpg,False,True,False,False,False,False,False,29.73052,{'is_FSBA': True},2776.0,-95.50903,sqft,9151.956,575000.0,575000.0,4939.0,False,TX,8002 Beverlyhill St,946167.0,576400.0,77063,28042715,Not Available
3.0,4.0,Humble,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=30.059917449951172,-95.20414733886719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=TA5zos9pWUolW2XjGrwuV_A85so=",False,True,False,False,False,False,False,30.059917,{'is_FSBA': True},2587.0,-95.20415,acres,0.2704,349900.0,349900.0,2400.0,False,TX,3627 Oak Lake Dr,277785.0,350400.0,77339,28251261,Not Available
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dc9c43644df06ca79a83c04c3f940409-p_e.jpg,False,True,False,False,False,False,False,29.795267,{'is_FSBA': True},2204.0,-95.716896,sqft,8624.88,270000.0,270000.0,2109.0,False,TX,1915 Mission Creek Cir,230125.0,272300.0,77084,28197129,Not Available
2.0,0.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/1f07a1e28629d1fb1f4b26505ffd5066-p_e.jpg,False,True,False,False,False,False,False,29.749228,{'is_FSBA': True},876.0,-95.3717,,,175000.0,175000.0,1104.0,False,TX,2016 Main St #2106,174385.0,145300.0,77002,28389102,# 2106
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/47ba59a82bce82bfb8905b47334d6808-p_e.jpg,False,True,False,False,False,False,False,29.929502,{'is_FSBA': True},3195.0,-95.171364,sqft,8633.592,419999.0,419999.0,2836.0,False,TX,14434 Cottage Timbers Ln,351000.0,421300.0,77044,70315227,Not Available
0.0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/22e127b27c3334e4bfdb2d0b673e74d7-p_e.jpg,False,True,False,False,False,False,False,29.749018,{'is_FSBA': True},,-95.33989,sqft,10001.376,1730000.0,1730000.0,1425.0,False,TX,316 York St,380000.0,,77003,27741005,Not Available
1.0,1.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/07df3eb8bcbde82c1896b940bd0c8432-p_e.jpg,False,True,False,False,False,False,False,29.993994,{'is_FSBA': True},1055.0,-95.513306,acres,12.3083,137500.0,137500.0,1459.0,False,TX,14777 Wunderlich Dr APT 510,110350.0,138400.0,77069,28429340,Apt 510
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/6df627e98b9f80ade5c2ef0f0ba32069-p_e.jpg,False,True,False,False,False,False,False,29.733274,{'is_FSBA': True},2159.0,-95.48565,sqft,1166.0,387750.0,387750.0,2888.0,False,TX,6014 Fairdale Ln UNIT B,379269.0,388400.0,77057,161431575,Unit B
2.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.841550827026367,-95.70039367675781&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=8yNMMZ4Q5bCgQK50DgJuN7AESUU=",False,True,False,False,False,False,False,29.84155,{'is_FSBA': True},2080.0,-95.70039,sqft,6124.536,295000.0,295000.0,1980.0,False,TX,4843 Hidden Chestnut Ln,273461.0,297100.0,77084,68408418,Not Available
2.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/c2b6f4252293a6d30abb707255379ce8-p_e.jpg,False,True,False,False,False,False,False,29.666168,{'is_FSBA': True},1088.0,-95.51434,acres,10.1874,135000.0,135000.0,1200.0,False,TX,7700 Creekbend Dr APT 60,89988.0,134900.0,77071,28234782,Apt 60
3.0,3.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/9f5b5d0d7c374c014b277162b769535c-p_e.jpg,False,True,False,False,False,False,False,29.800968,{'is_FSBA': True},1597.0,-95.39251,sqft,2962.0,465000.0,465000.0,2850.0,False,TX,1627 Oxford St,325580.0,475800.0,77008,27759964,Not Available
3.0,5.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7adcb0ab14da2fd663499b5516f115bb-p_e.jpg,False,True,False,False,False,False,False,29.909824,{'is_FSBA': True},2506.0,-95.66651,sqft,6669.036,400000.0,400000.0,2299.0,False,TX,16827 Whitaker Creek Dr,319294.0,402300.0,77095,84008457,Not Available
4.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6fe74ce3e8064a11fa21409253cae72f-p_e.jpg,False,True,False,False,False,False,False,29.912085,{'is_FSBA': True},3863.0,-95.66616,sqft,6599.34,500000.0,500000.0,3539.0,False,TX,9310 Morley Lake Dr,480417.0,503300.0,77095,97610397,Not Available
4.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/553dcf665676edd2d92b8a2fe8e01192-p_e.jpg,False,True,False,False,False,False,False,29.774452,{'is_FSBA': True},2978.0,-95.42768,sqft,2500.0,875000.0,875000.0,,False,TX,6514 Taggart St UNIT A,,,77007,2057118179,Unit A
2.0,4.0,Kingwood,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/19efed9f91106af090486eb296747b08-p_e.jpg,False,True,False,False,False,False,False,30.054962,{'is_FSBA': True},2569.0,-95.23272,sqft,9747.0,339000.0,339000.0,2314.0,False,TX,22029 Rye Hollow Ln,314457.0,339400.0,77339,80538986,Not Available
1.0,2.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5eeb5a3f0a1fbf38aacaef503dca5dc1-p_e.jpg,False,True,False,False,False,False,False,29.74218,{'is_FSBA': True},1464.0,-95.33963,sqft,5000.688,229995.0,229995.0,1800.0,False,TX,3914 Lamar St,232259.0,237300.0,77023,27822295,Not Available
2.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/62a84ad6cd7726d2de9088ff77213bde-p_e.jpg,False,True,False,False,False,False,False,29.85128,{'is_FSBA': True},1563.0,-95.635735,sqft,8842.68,250000.0,250000.0,1800.0,False,TX,5103 Crystal Bay Dr,207078.0,252800.0,77084,28214189,Not Available
4.0,4.0,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/286f16f323b91f0def20c97dd4c2efc6-p_e.jpg,False,True,False,False,False,False,False,29.766724,{'is_FSBA': True},5114.0,-95.69855,sqft,10815.948,1225000.0,1225000.0,7045.0,False,TX,19027 Waterford Cv,1046518.0,1243000.0,77094,28554687,Not Available
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4e8e132311e003fb337bc8c38b908c8b-p_e.jpg,False,True,False,False,False,False,False,29.78943,{'is_FSBA': True},2410.0,-95.406746,sqft,2626.668,700000.0,700000.0,4598.0,False,TX,1016 Lawrence St #A,727019.0,709100.0,77008,243979497,# A
4.0,3.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ff8467ce7fcea58fb09d94838dbf234e-p_e.jpg,False,True,False,False,False,False,False,29.801926,{'is_FSBA': True},2081.0,-95.495346,sqft,1820.808,475000.0,475000.0,3012.0,False,TX,1723 Basil Branch Dr,459616.0,475700.0,77055,161436054,Not Available
3.0,4.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/eec8a8718c380fe1d46352a5c1335d20-p_e.jpg,False,True,False,False,False,False,False,29.979872,{'is_FSBA': True},1671.0,-95.39895,sqft,4948.416,227000.0,227000.0,1779.0,False,TX,19919 Bettencourt Ln,196454.0,228900.0,77073,80518913,Not Available
4.0,5.0,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/11c4232848734dc13c34e4b607c60aed-p_e.jpg,False,True,False,False,False,False,False,29.660883,{'is_FSBA': True},3585.0,-95.519905,sqft,8258.976,235000.0,235000.0,3969.0,False,TX,10914 Shawnbrook Dr,365036.0,237000.0,77071,28195141,Not Available
